Date,^DJI
2020-09-15,27995.59960938
2020-09-16,28032.38085938
2020-09-17,27901.98046875
2020-09-18,27657.41992188
2020-09-21,27147.69921875
2020-09-22,27288.17968750
2020-09-23,26763.13085938
2020-09-24,26815.43945312
2020-09-25,27173.96093750
2020-09-28,27584.06054688
2020-09-29,27452.66015625
2020-09-30,27781.69921875
2020-10-01,27816.90039062
2020-10-02,27682.81054688
2020-10-05,28148.64062500
2020-10-06,27772.75976562
2020-10-07,28303.46093750
2020-10-08,28425.50976562
2020-10-09,28586.90039062
2020-10-12,28837.51953125
2020-10-13,28679.81054688
2020-10-14,28514.00000000
2020-10-15,28494.19921875
2020-10-16,28606.31054688
2020-10-19,28195.41992188
2020-10-20,28308.78906250
2020-10-21,28210.82031250
2020-10-22,28363.66015625
2020-10-23,28335.57031250
2020-10-26,27685.38085938
2020-10-27,27463.18945312
2020-10-28,26519.94921875
2020-10-29,26659.10937500
2020-10-30,26501.59960938
2020-11-02,26925.05078125
2020-11-03,27480.02929688
2020-11-04,27847.66015625
2020-11-05,28390.17968750
2020-11-06,28323.40039062
2020-11-09,29157.97070312
2020-11-10,29420.91992188
2020-11-11,29397.63085938
2020-11-12,29080.16992188
2020-11-13,29479.81054688
2020-11-16,29950.43945312
2020-11-17,29783.34960938
2020-11-18,29438.41992188
2020-11-19,29483.23046875
2020-11-20,29263.48046875
2020-11-23,29591.26953125
2020-11-24,30046.24023438
2020-11-25,29872.47070312
2020-11-27,29910.36914062
2020-11-30,29638.64062500
2020-12-01,29823.91992188
2020-12-02,29883.78906250
2020-12-03,29969.51953125
2020-12-04,30218.25976562
2020-12-07,30069.78906250
2020-12-08,30173.88085938
2020-12-09,30068.81054688
2020-12-10,29999.25976562
2020-12-11,30046.36914062
2020-12-14,29861.55078125
2020-12-15,30199.31054688
2020-12-16,30154.53906250
2020-12-17,30303.36914062
2020-12-18,30179.05078125
2020-12-21,30216.44921875
2020-12-22,30015.50976562
2020-12-23,30129.83007812
2020-12-24,30199.86914062
2020-12-28,30403.97070312
2020-12-29,30335.66992188
2020-12-30,30409.56054688
2020-12-31,30606.48046875
2021-01-04,30223.89062500
2021-01-05,30391.59960938
2021-01-06,30829.40039062
2021-01-07,31041.13085938
2021-01-08,31097.97070312
2021-01-11,31008.68945312
2021-01-12,31068.68945312
2021-01-13,31060.47070312
2021-01-14,30991.51953125
2021-01-15,30814.25976562
2021-01-19,30930.51953125
2021-01-20,31188.38085938
2021-01-21,31176.00976562
2021-01-22,30996.98046875
2021-01-25,30960.00000000
2021-01-26,30937.03906250
2021-01-27,30303.16992188
2021-01-28,30603.35937500
2021-01-29,29982.61914062
2021-02-01,30211.91015625
2021-02-02,30687.48046875
2021-02-03,30723.59960938
2021-02-04,31055.85937500
2021-02-05,31148.24023438
2021-02-08,31385.75976562
2021-02-09,31375.83007812
2021-02-10,31437.80078125
2021-02-11,31430.69921875
2021-02-12,31458.40039062
2021-02-16,31522.75000000
2021-02-17,31613.01953125
2021-02-18,31493.33984375
2021-02-19,31494.32031250
2021-02-22,31521.68945312
2021-02-23,31537.34960938
2021-02-24,31961.85937500
2021-02-25,31402.00976562
2021-02-26,30932.36914062
2021-03-01,31535.50976562
2021-03-02,31391.51953125
2021-03-03,31270.08984375
2021-03-04,30924.14062500
2021-03-05,31496.30078125
2021-03-08,31802.43945312
2021-03-09,31832.74023438
2021-03-10,32297.01953125
2021-03-11,32485.58984375
2021-03-12,32778.64062500
2021-03-15,32953.46093750
2021-03-16,32825.94921875
2021-03-17,33015.37109375
2021-03-18,32862.30078125
2021-03-19,32627.97070312
2021-03-22,32731.19921875
2021-03-23,32423.15039062
2021-03-24,32420.06054688
2021-03-25,32619.48046875
2021-03-26,33072.87890625
2021-03-29,33171.37109375
2021-03-30,33066.96093750
2021-03-31,32981.55078125
2021-04-01,33153.21093750
2021-04-05,33527.19140625
2021-04-06,33430.23828125
2021-04-07,33446.26171875
2021-04-08,33503.57031250
2021-04-09,33800.60156250
2021-04-12,33745.39843750
2021-04-13,33677.26953125
2021-04-14,33730.89062500
2021-04-15,34035.98828125
2021-04-16,34200.67187500
2021-04-19,34077.62890625
2021-04-20,33821.30078125
2021-04-21,34137.30859375
2021-04-22,33815.89843750
2021-04-23,34043.48828125
2021-04-26,33981.57031250
2021-04-27,33984.92968750
2021-04-28,33820.37890625
2021-04-29,34060.35937500
2021-04-30,33874.85156250
2021-05-03,34113.23046875
2021-05-04,34133.03125000
2021-05-05,34230.33984375
2021-05-06,34548.53125000
2021-05-07,34777.76171875
2021-05-10,34742.82031250
2021-05-11,34269.16015625
2021-05-12,33587.66015625
2021-05-13,34021.44921875
2021-05-14,34382.12890625
2021-05-17,34327.78906250
2021-05-18,34060.66015625
2021-05-19,33896.03906250
2021-05-20,34084.14843750
2021-05-21,34207.83984375
2021-05-24,34393.98046875
2021-05-25,34312.46093750
2021-05-26,34323.05078125
2021-05-27,34464.64062500
2021-05-28,34529.44921875
2021-06-01,34575.30859375
2021-06-02,34600.37890625
2021-06-03,34577.03906250
2021-06-04,34756.39062500
2021-06-07,34630.23828125
2021-06-08,34599.82031250
2021-06-09,34447.14062500
2021-06-10,34466.23828125
2021-06-11,34479.60156250
2021-06-14,34393.75000000
2021-06-15,34299.32812500
2021-06-16,34033.67187500
2021-06-17,33823.44921875
2021-06-18,33290.07812500
2021-06-21,33876.96875000
2021-06-22,33945.57812500
2021-06-23,33874.23828125
2021-06-24,34196.82031250
2021-06-25,34433.83984375
2021-06-28,34283.26953125
2021-06-29,34292.28906250
2021-06-30,34502.51171875
2021-07-01,34633.53125000
2021-07-02,34786.35156250
2021-07-06,34577.37109375
2021-07-07,34681.78906250
2021-07-08,34421.92968750
2021-07-09,34870.16015625
2021-07-12,34996.17968750
2021-07-13,34888.78906250
2021-07-14,34933.23046875
2021-07-15,34987.01953125
2021-07-16,34687.85156250
2021-07-19,33962.03906250
2021-07-20,34511.98828125
2021-07-21,34798.00000000
2021-07-22,34823.35156250
2021-07-23,35061.55078125
2021-07-26,35144.30859375
2021-07-27,35058.51953125
2021-07-28,34930.92968750
2021-07-29,35084.53125000
2021-07-30,34935.46875000
2021-08-02,34838.16015625
2021-08-03,35116.39843750
2021-08-04,34792.67187500
2021-08-05,35064.25000000
2021-08-06,35208.51171875
2021-08-09,35101.85156250
2021-08-10,35264.67187500
2021-08-11,35484.96875000
2021-08-12,35499.85156250
2021-08-13,35515.37890625
2021-08-16,35625.39843750
2021-08-17,35343.28125000
