Date,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,BRK-B,JPM,JNJ,V,PG,UNH,MA,HD,XOM,PFE,BAC,KO,DIS,NFLX,AVGO,CSCO,ADBE,TMO,NKE,WMT,INTC,PEP,ABBV,ABT,CRM,ACN,AMD,COST,LIN,MCD,CVX,VZ,T,QCOM,TXN,HON,IBM,ORCL,CAT,UPS,BA,GS,MS
2020-09-15,112.38780975,200.18356323,157.80650330,76.23022461,270.93368530,12.95146465,149.91999817,218.94000244,86.81338501,129.09840393,198.16935730,122.50350952,284.06741333,329.72317505,253.08815002,29.19866180,27.67593575,22.38097000,43.88515854,129.08802795,495.98999023,32.55067825,34.92189026,497.67001343,429.54623413,111.55243683,42.70973969,44.87487411,116.54560852,74.33496857,97.48388672,249.49378967,222.70368958,78.93000031,316.93276978,233.98751831,198.38780212,76.34999847,45.20275879,15.50353813,104.75948334,122.22397614,152.17883301,94.32673645,56.71052933,134.68830872,132.87677002,163.49000549,175.73774719,42.90176392
2020-09-16,109.07083893,196.60716248,153.90499878,75.08662415,262.08218384,12.47641373,147.25332642,219.58999634,87.18064117,128.67353821,197.91851807,121.68164825,283.41085815,332.35797119,249.58753967,30.43841934,27.54115295,22.66426849,43.66165161,129.92407227,483.85998535,32.56219482,34.76707077,476.00000000,428.34185791,110.91645050,42.36771774,45.20694351,115.99560547,73.41098785,96.67899323,248.42317200,221.98048401,76.66000366,316.76699829,232.22372437,200.56465149,78.55999756,45.03119278,15.56742573,102.94431305,121.38966370,153.71601868,95.69802094,56.23591995,136.96333313,131.51121521,167.46000671,178.11645508,43.54882050
2020-09-17,107.32968140,194.55528259,150.43649292,73.84268951,253.42967224,12.42557049,141.14332581,218.05000305,86.18378448,127.60700989,198.05360413,121.52262115,281.98706055,330.00506592,248.10752869,30.43036461,27.57110405,22.44293976,43.45532227,128.08473206,470.20001221,32.46284103,34.72406769,474.29998779,427.40393066,108.83073425,42.50141907,45.16206741,114.46596527,73.28832245,97.55707550,242.40591431,219.56990051,76.55000305,312.29736328,233.67024231,198.57518005,78.79000092,45.19528961,15.47691631,103.23184967,122.01538086,154.02342224,96.23731232,56.00328064,139.46493530,131.41246033,167.52999878,172.92417908,42.78256989
2020-09-18,103.92516327,192.13905334,147.74549866,72.05751038,251.15216064,12.15215302,147.38333130,218.21000671,86.00016022,129.34985352,195.48709106,121.39004517,284.79788208,325.95092773,243.88023376,29.93928528,27.42882919,22.31899261,43.36936188,126.52080536,469.95999146,31.91369057,34.24238586,467.54998779,423.57351685,107.24076080,42.06612396,44.77614212,112.97927856,73.68083191,97.73997498,240.67109680,218.97648621,74.93000031,309.60650635,229.66671753,196.51431274,78.20999908,45.01626968,15.40237713,99.46671295,120.50322723,152.54054260,94.57327271,55.60311127,138.12348938,131.33847046,161.13999939,172.95083618,42.63783264
2020-09-21,107.07677460,194.20048523,148.02349854,71.01719666,246.79605103,12.47915554,149.79666138,213.02000427,83.34188080,125.81220245,190.50849915,120.80686188,276.63351440,318.74670410,241.36337280,29.32746696,26.97206116,21.66385651,42.20023346,123.35361481,487.35000610,31.49381828,33.58006668,475.64001465,420.03921509,106.03422546,42.61957550,44.62356949,112.78163147,72.84679413,96.90765381,242.92138672,216.87187195,77.94000244,312.93328857,222.51820374,193.07060242,76.30000305,44.46429062,15.24266338,100.57200623,119.04323578,145.91264343,92.63960266,56.59886169,131.72445679,132.49014282,156.35000610,172.18753052,41.17343140
2020-09-22,108.75956726,198.87956238,156.44949341,72.49102020,253.36006165,12.59928989,141.41000366,214.16000366,82.43247986,125.04048920,193.50917053,121.91143036,272.07522583,325.99951172,242.21412659,28.60293388,27.14427948,21.19463730,42.69024277,125.12409210,491.17001343,32.37115479,33.82090759,486.77999878,424.74829102,109.30775452,43.00513840,44.82999420,113.56365204,72.44612885,95.85581207,245.62767029,219.66259766,77.69999695,317.43051147,222.32218933,193.07060242,75.52999878,44.62094116,15.17877579,102.27936554,120.49452209,147.09716797,92.83988953,56.41273880,133.37403870,133.17288208,156.80000305,170.07513428,40.55191422
2020-09-23,104.19754791,192.33079529,149.99299622,69.98679352,247.66131592,12.08685207,126.78666687,209.61000061,81.09459686,125.23993683,188.50161743,120.45338440,270.11508179,315.51882935,236.22326660,27.68519211,26.95708275,20.59261703,41.44374847,121.25852966,470.60998535,31.47591782,32.92636490,470.39001465,415.38928223,118.88512421,42.28376770,43.81581497,112.57539368,71.25230408,93.96247864,233.94009399,213.84928894,74.73000336,317.59634399,217.58145142,191.78591919,71.94999695,43.94214630,14.83803272,99.35886383,117.46153259,143.57981873,91.54563904,54.86794662,130.86337280,132.89315796,151.17999268,165.19354248,39.52172089
2020-09-24,105.26753235,194.82374573,150.98950195,70.65567780,248.16851807,12.31042004,129.26333618,208.72000122,81.02467346,125.43933105,188.64634705,120.99239349,270.59588623,319.09671021,235.47003174,27.62883759,26.77736664,20.66344261,41.86497498,120.48149109,473.07998657,31.55916977,32.55650330,467.67001343,412.80273438,116.67787170,42.50453186,44.12097168,113.07382965,70.24658203,92.30696106,235.48655701,198.80155945,75.81999969,319.78036499,218.84127808,192.81187439,71.80000305,44.15100098,14.92854786,100.81462860,118.79121399,143.55264282,90.97554016,55.18434143,131.55224609,131.95539856,146.05000305,173.17274475,39.68348694
2020-09-25,109.21674347,199.26310730,154.75650024,71.46013641,253.42967224,12.83457088,135.77999878,210.44999695,81.73295593,126.29777527,190.31553650,121.61096191,279.69403076,322.56759644,237.99574280,27.88645172,26.99452209,20.79624176,41.88217926,121.96672821,482.88000488,31.94232368,33.07258606,479.77999878,416.89974976,116.19152069,42.68175507,44.82101059,114.76676178,70.50824738,94.62100983,240.63145447,198.99623108,78.05999756,315.70718384,217.20814514,194.64968872,71.83000183,44.30018616,14.92854786,102.89041138,120.20774078,146.02119446,91.63806915,55.64964676,132.25012207,136.65254211,156.02999878,173.03068542,40.04959106
2020-09-28,111.82363892,200.81637573,158.70249939,72.43341827,255.41876221,12.99532986,140.39999390,213.53999329,84.08515930,127.55500031,193.27761841,121.95559692,280.36895752,328.99404907,241.34567261,28.42582893,27.24911690,21.32743454,42.36357880,123.92409515,490.64999390,32.88233566,33.65747452,488.51000977,422.92193604,116.27568817,42.67553329,46.15827942,118.56507874,71.36679077,95.52654266,244.52731323,206.55256653,79.48000336,322.19500732,221.22099304,196.50537109,73.93000031,44.27780914,15.10956097,106.45784760,123.35373688,148.86943054,93.77975464,55.44491959,133.85444641,138.93937683,166.08000183,176.68746948,41.19045258
