Date,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,BRK-B,JPM,JNJ,V,PG,UNH,MA,HD,XOM,PFE,BAC,KO,DIS,NFLX,AVGO,CSCO,ADBE,TMO,NKE,WMT,INTC,PEP,ABBV,ABT,CRM,ACN,AMD,COST,LIN,MCD,CVX,VZ,T,QCOM,TXN,HON,IBM,ORCL,CAT,UPS,BA,GS,MS
2020-09-15,0.00155910,0.01627304,0.01698691,0.01727404,0.02328512,0.00918302,0.06936453,-0.00455706,-0.03162617,0.00363376,0.00199811,0.00000000,-0.00435240,0.00159368,0.01741413,-0.01069506,-0.00135200,-0.01842104,0.00668230,-0.00007612,0.04059180,0.01291991,0.00568148,0.02391380,0.00230113,-0.00008371,0.00029113,0.01187022,-0.00771226,0.00463042,0.00838582,0.02022870,0.00572002,0.01313542,0.00288237,-0.00207205,0.00817288,-0.01223667,0.00463110,-0.00068656,0.02712737,0.01511654,-0.00100970,0.00286240,0.02458580,-0.03250735,0.00864222,-0.01131262,-0.01672797,-0.01496994
2020-09-16,-0.02995798,-0.01802712,-0.02503410,-0.01511560,-0.03321584,-0.03736891,-0.01794739,0.00296442,0.00422158,-0.00329645,-0.00126658,-0.00673111,-0.00231376,0.00795908,-0.01392813,0.04158266,-0.00488193,0.01257848,-0.00510598,0.00645566,-0.02476017,0.00035409,-0.00444371,-0.04451938,-0.00280795,-0.00571775,-0.00804056,0.00737257,-0.00473038,-0.01250776,-0.00829111,-0.00430033,-0.00325267,-0.02918128,-0.00052319,-0.00756647,0.01091293,0.02853483,-0.00380244,0.00411231,-0.01747889,-0.00684931,0.01005030,0.01443310,-0.00840386,0.01674974,-0.01032979,0.02399270,0.01344468,0.01496994
2020-09-17,-0.01609234,-0.01049137,-0.02279450,-0.01670542,-0.03357172,-0.00408363,-0.04237854,-0.00703775,-0.01150017,-0.00832300,0.00068207,-0.00130777,-0.00503674,-0.00710405,-0.00594754,-0.00026478,0.00108705,-0.00981345,-0.00473660,-0.01425809,-0.02863742,-0.00305610,-0.00123777,-0.00357785,-0.00219181,-0.01898323,0.00315077,-0.00099334,-0.01327471,-0.00167223,0.00904114,-0.02451998,-0.01091897,-0.00143595,-0.01421027,0.00620980,-0.00996903,0.00292330,0.00363736,-0.00583112,0.00278931,0.00514106,0.00199802,0.00561937,-0.00414563,0.01810007,-0.00075051,0.00041788,-0.02958435,-0.01775202
2020-09-18,-0.03223418,-0.01249701,-0.01804983,-0.02447246,-0.00902744,-0.02224965,0.04326102,0.00073352,-0.00213271,0.01356506,-0.01304306,-0.00109174,0.00991866,-0.01236172,-0.01718504,-0.01626912,-0.00517372,-0.00553799,-0.00198019,-0.01228537,-0.00051060,-0.01706058,-0.01396848,-0.01433374,-0.00900283,-0.01471772,-0.01029480,-0.00858181,-0.01307317,0.00534140,0.00187366,-0.00718239,-0.00270607,-0.02138981,-0.00865396,-0.01728183,-0.01043258,-0.00738857,-0.00396890,-0.00482754,-0.03715460,-0.01247045,-0.00967447,-0.01744232,-0.00717091,-0.00966496,-0.00056377,-0.03888888,0.00015397,-0.00338874
2020-09-21,0.02987504,0.01067195,0.00187985,-0.01454250,-0.01749662,0.02655277,0.01624190,-0.02407185,-0.03139805,-0.02773008,-0.02579769,-0.00481591,-0.02908586,-0.02235018,-0.01037357,-0.02064705,-0.01679320,-0.02979281,-0.02732745,-0.02535168,0.03633500,-0.01324399,-0.01953137,0.01715503,-0.00837895,-0.01131427,0.01307109,-0.00341336,-0.00175087,-0.01138395,-0.00855252,0.00930662,-0.00965784,0.03938498,0.01068797,-0.03162016,-0.01767917,-0.02472453,-0.01233739,-0.01042418,0.01105075,-0.01219004,-0.04442210,-0.02065827,0.01774944,-0.04743619,0.00873017,-0.03017643,-0.00442302,-0.03494886
2020-09-22,0.01559369,0.02380829,0.05536220,0.02054054,0.02624923,0.00958083,-0.05761529,0.00533734,-0.01097166,-0.00615268,0.01562810,0.00910203,-0.01661505,0.02249941,0.00351878,-0.02501535,0.00636484,-0.02189717,0.01154445,0.01425090,0.00780776,0.02747658,0.00714654,0.02315098,0.01114870,0.03040521,0.00900603,0.00461550,0.00690967,-0.00551529,-0.01091340,0.01107897,0.01278614,-0.00308411,0.01426880,-0.00088135,0.00000000,-0.01014294,0.00351662,-0.00420005,0.01683400,0.01211779,0.00808506,0.00215975,-0.00329394,0.01244544,0.00514036,0.00287400,-0.01234414,-0.01521010
2020-09-23,-0.04285133,-0.03348272,-0.04214463,-0.03515603,-0.02274937,-0.04152179,-0.10915761,-0.02147475,-0.01636301,0.00159349,-0.02621832,-0.01203241,-0.00723081,-0.03267762,-0.02504507,-0.03261133,-0.00692018,-0.02881558,-0.02963334,-0.03138111,-0.04276063,-0.02804524,-0.02680594,-0.03425010,-0.02228039,0.08399081,-0.01691624,-0.02288269,-0.00874026,-0.01661597,-0.01994940,-0.04875184,-0.02682100,-0.03897356,0.00052209,-0.02155443,-0.00667611,-0.04855886,-0.01532911,-0.02270408,-0.02896954,-0.02549333,-0.02420248,-0.01403876,-0.02776540,-0.01900345,-0.00210267,-0.03650000,-0.02912263,-0.02573247
2020-09-24,0.01021651,0.01287858,0.00662171,0.00951191,0.00204581,0.01832755,0.01934580,-0.00425502,-0.00086309,0.00159120,0.00076766,0.00446523,0.00177860,0.01127577,-0.00319388,-0.00203783,-0.00668907,0.00343356,0.01011280,-0.00642880,0.00523478,0.00264187,-0.01129656,-0.00579922,-0.00624634,-0.01874136,0.00520698,0.00694031,0.00441780,-0.01421572,-0.01777623,0.00658876,-0.07296482,0.01448044,0.00685357,0.00577358,0.00533499,-0.00208633,0.00474160,0.00608130,0.01454513,0.01125642,-0.00018876,-0.00624687,0.00574998,0.00525002,-0.00708185,-0.03452208,0.04717195,0.00408474
2020-09-25,0.03682963,0.02253074,0.02464260,0.01132129,0.02097839,0.04169647,0.04918423,0.00825443,0.00870367,0.00681971,0.00880917,0.00509937,0.03306965,0.01081840,0.01066939,0.00928063,0.00807682,0.00640593,0.00041054,0.01225215,0.02050371,0.01206794,0.01572759,0.02556472,0.00987598,-0.00417664,0.00416147,0.01574197,0.01486108,0.00371803,0.02476023,0.02161276,0.00097875,0.02911562,-0.01281944,-0.00749062,0.00948659,0.00041718,0.00337337,0.00000000,0.02038084,0.01185423,0.01704975,0.00725619,0.00839628,0.00529103,0.03497766,0.06609924,-0.00082041,0.00918340
2020-09-28,0.02358839,0.00776514,0.02517846,0.01352812,0.00781804,0.01244756,0.03345953,0.01457606,0.02837288,0.00990565,0.01544426,0.00282984,0.00241056,0.01972714,0.01397713,0.01915737,0.00938715,0.02522197,0.01142869,0.01592102,0.01596284,0.02900329,0.01753112,0.01803230,0.01434160,0.00072393,-0.00014587,0.02939949,0.03256002,0.01210296,0.00952420,0.01606036,0.03726936,0.01802773,0.02034154,0.01830608,0.00948845,0.02881675,-0.00050542,0.01205238,0.03408516,0.02583484,0.01931763,0.02310229,-0.00368564,0.01205765,0.01659652,0.06242132,0.02091342,0.02808812
