Date,Dividend
11/10/2025,1.68
8/8/2025,1.68
5/9/2025,1.68
2/10/2025,1.67
11/12/2024,1.67
8/9/2024,1.67
5/9/2024,1.67
2/8/2024,1.66
11/9/2023,1.66
8/9/2023,1.66
5/9/2023,1.66
2/9/2023,1.65
11/9/2022,1.65
8/9/2022,1.65
5/9/2022,1.65
2/10/2022,1.64
11/9/2021,1.64
8/9/2021,1.567878
5/7/2021,1.567878
2/9/2021,1.558317
11/9/2020,1.558317
8/7/2020,1.558317
5/7/2020,1.558317
2/7/2020,1.548757
11/7/2019,1.548757
8/8/2019,1.548757
5/9/2019,1.548757
2/7/2019,1.500956
11/8/2018,1.500956
8/9/2018,1.500956
5/9/2018,1.500956
2/8/2018,1.434034
11/9/2017,1.434034
8/8/2017,1.434034
5/8/2017,1.434034
2/8/2017,1.338432
11/8/2016,1.338432
8/8/2016,1.338432
5/6/2016,1.338432
2/8/2016,1.24283
11/6/2015,1.24283
8/6/2015,1.24283
5/6/2015,1.24283
2/6/2015,1.051625
