Date,Dividend
8/26/2025,1.3
5/27/2025,1.3
2/18/2025,1.24
11/26/2024,1.24
8/27/2024,1.24
5/20/2024,1.24
2/16/2024,1.19
11/20/2023,1.19
8/25/2023,1.19
5/22/2023,1.19
2/17/2023,1.13
11/21/2022,1.13
8/22/2022,1.13
5/23/2022,1.13
2/18/2022,1.06
11/22/2021,1.06
8/23/2021,1.06
5/24/2021,1.06
2/22/2021,1.01
11/23/2020,1.01
8/24/2020,1.01
5/22/2020,1.01
2/24/2020,0.95
11/25/2019,0.95
8/26/2019,0.95
5/24/2019,0.95
2/25/2019,0.9
11/26/2018,0.9
8/27/2018,0.9
5/25/2018,0.9
2/26/2018,0.84
11/27/2017,0.84
8/25/2017,0.84
5/25/2017,0.84
2/24/2017,0.8
11/18/2016,0.8
8/19/2016,0.8
5/20/2016,0.8
2/19/2016,0.75
11/20/2015,0.75
8/21/2015,0.75
5/21/2015,0.75
2/20/2015,0.7
