Date,Dividend
8/29/2025,0.4
5/30/2025,0.4
3/7/2025,0.4
11/29/2024,0.4
8/30/2024,0.4
6/6/2024,0.4
3/7/2024,0.4
11/30/2023,0.4
8/31/2023,0.4
6/5/2023,0.4
3/9/2023,0.4
11/23/2022,0.4
8/25/2022,0.4
5/26/2022,0.4
3/10/2022,0.4
11/24/2021,0.4
8/31/2021,0.4
5/27/2021,0.4
3/11/2021,0.4
11/25/2020,0.4
8/27/2020,0.4
5/28/2020,0.4
3/12/2020,0.4
11/14/2019,0.4
8/20/2019,0.4
5/30/2019,0.4
3/7/2019,0.4
11/15/2018,0.625
8/16/2018,0.625
5/17/2018,0.625
3/8/2018,0.625
11/16/2017,0.625
8/16/2017,0.625
5/17/2017,0.6
3/1/2017,0.6
11/30/2016,0.6
8/24/2016,0.6
5/25/2016,0.575
3/16/2016,0.575
12/21/2015,0.575
11/12/2015,0.575
7/23/2015,0.55
,
,
