Date,Dividend
9/15/2025,0.51
6/13/2025,0.51
3/14/2025,0.51
11/29/2024,0.485
9/13/2024,0.485
6/14/2024,0.485
3/14/2024,0.485
11/30/2023,0.46
9/14/2023,0.46
6/15/2023,0.46
3/16/2023,0.46
11/30/2022,0.44
9/15/2022,0.44
6/14/2022,0.44
3/14/2022,0.44
11/30/2021,0.42
9/14/2021,0.42
6/14/2021,0.42
3/12/2021,0.42
11/30/2020,0.41
9/14/2020,0.41
6/12/2020,0.41
3/13/2020,0.41
11/29/2019,0.4
9/13/2019,0.4
6/13/2019,0.4
3/14/2019,0.4
11/29/2018,0.39
9/13/2018,0.39
6/14/2018,0.39
3/14/2018,0.39
11/30/2017,0.37
9/14/2017,0.37
6/13/2017,0.37
3/13/2017,0.37
11/29/2016,0.35
9/13/2016,0.35
6/13/2016,0.35
3/11/2016,0.35
11/27/2015,0.33
9/11/2015,0.33
6/11/2015,0.33
3/12/2015,0.33
