Date,Dividend
11/20/2025,0.91
8/21/2025,0.83
5/15/2025,0.83
2/20/2025,0.83
11/21/2024,0.83
8/15/2024,0.75
5/15/2024,0.75
2/14/2024,0.75
11/15/2023,0.75
8/16/2023,0.68
5/17/2023,0.68
2/15/2023,0.68
11/16/2022,0.68
8/17/2022,0.62
5/18/2022,0.62
2/16/2022,0.62
11/17/2021,0.62
8/18/2021,0.56
5/19/2021,0.56
2/17/2021,0.56
11/18/2020,0.56
8/19/2020,0.51
5/20/2020,0.51
2/19/2020,0.51
11/20/2019,0.51
8/14/2019,0.46
5/15/2019,0.46
2/20/2019,0.46
11/14/2018,0.46
8/15/2018,0.42
5/16/2018,0.42
2/14/2018,0.42
11/15/2017,0.42
8/15/2017,0.39
5/16/2017,0.39
2/14/2017,0.39
11/15/2016,0.39
8/16/2016,0.36
5/17/2016,0.36
2/16/2016,0.36
11/17/2015,0.36
8/18/2015,0.31
5/19/2015,0.31
2/17/2015,0.31
