Date,Dividend
9/30/2025,0.52
6/30/2025,0.5
3/31/2025,0.5
12/31/2024,0.5
9/30/2024,0.5
6/28/2024,0.49
3/27/2024,0.49
12/28/2023,0.49
9/28/2023,0.48
6/29/2023,0.48
3/30/2023,0.48
12/29/2022,0.48
9/29/2022,0.48
6/29/2022,0.46
3/30/2022,0.46
12/30/2021,0.46
9/29/2021,0.46
6/29/2021,0.42
3/30/2021,0.42
12/30/2020,0.42
9/29/2020,0.42
6/29/2020,0.42
3/30/2020,0.42
12/30/2019,0.42
9/27/2019,0.42
6/27/2019,0.37
3/28/2019,0.37
12/28/2018,0.37
9/27/2018,0.37
6/28/2018,0.3
3/28/2018,0.3
12/28/2017,0.3
9/28/2017,0.3
6/28/2017,0.28
3/29/2017,0.28
12/28/2016,0.28
9/28/2016,0.28
6/28/2016,0.255
3/29/2016,0.255
12/29/2015,0.255
9/28/2015,0.255
6/26/2015,0.255
3/27/2015,0.245
,
