Date,Dividend
10/10/2025,0.69
7/10/2025,0.678
4/10/2025,0.678
1/10/2025,0.678
10/10/2024,0.678
7/10/2024,0.665
4/9/2024,0.665
1/9/2024,0.665
10/6/2023,0.665
7/7/2023,0.653
4/6/2023,0.653
1/9/2023,0.653
10/6/2022,0.653
7/7/2022,0.64
4/7/2022,0.64
1/7/2022,0.64
10/7/2021,0.64
7/8/2021,0.628
4/8/2021,0.628
1/7/2021,0.628
10/8/2020,0.628
7/9/2020,0.615
4/9/2020,0.615
1/9/2020,0.615
10/9/2019,0.615
7/9/2019,0.603
4/9/2019,0.603
1/9/2019,0.603
10/9/2018,0.603
7/9/2018,0.59
4/9/2018,0.59
1/9/2018,0.59
10/6/2017,0.59
7/6/2017,0.578
4/6/2017,0.578
1/6/2017,0.578
10/5/2016,0.578
7/6/2016,0.565
4/6/2016,0.565
1/6/2016,0.565
10/7/2015,0.565
7/8/2015,0.55
4/8/2015,0.55
1/7/2015,0.55
