Date,Dividend
11/14/2025,1.03
8/15/2025,0.99
5/15/2025,0.99
2/12/2025,0.99
11/14/2024,0.99
8/15/2024,0.95
5/14/2024,0.95
2/13/2024,0.95
11/14/2023,0.95
8/15/2023,0.91
5/15/2023,0.91
2/13/2023,0.91
11/14/2022,0.91
8/11/2022,0.88
5/12/2022,0.88
2/9/2022,0.88
11/10/2021,0.88
8/12/2021,0.87
5/12/2021,0.87
2/9/2021,0.87
11/10/2020,0.87
8/12/2020,0.87
5/12/2020,0.87
2/10/2020,0.87
11/8/2019,0.87
8/12/2019,0.87
5/10/2019,0.87
2/8/2019,0.82
11/9/2018,0.82
8/10/2018,0.82
5/11/2018,0.82
2/9/2018,0.77
11/10/2017,0.77
8/10/2017,0.77
5/10/2017,0.77
2/8/2017,0.75
11/8/2016,0.75
8/10/2016,0.75
5/11/2016,0.75
2/9/2016,0.73
11/9/2015,0.73
8/11/2015,0.73
5/11/2015,0.73
2/6/2015,0.69
