Date,Dividend
11/10/2025,1.68 Dividend
8/8/2025,1.68 Dividend
5/9/2025,1.68 Dividend
2/10/2025,1.67 Dividend
11/12/2024,1.67 Dividend
8/9/2024,1.67 Dividend
5/9/2024,1.67 Dividend
2/8/2024,1.66 Dividend
11/9/2023,1.66 Dividend
8/9/2023,1.66 Dividend
5/9/2023,1.66 Dividend
2/9/2023,1.65 Dividend
11/9/2022,1.65 Dividend
8/9/2022,1.65 Dividend
5/9/2022,1.65 Dividend
2/10/2022,1.64 Dividend
11/9/2021,1.64 Dividend
8/9/2021,1.567878 Dividend
5/7/2021,1.567878 Dividend
2/9/2021,1.558317 Dividend
11/9/2020,1.558317 Dividend
8/7/2020,1.558317 Dividend
5/7/2020,1.558317 Dividend
2/7/2020,1.548757 Dividend
11/7/2019,1.548757 Dividend
8/8/2019,1.548757 Dividend
5/9/2019,1.548757 Dividend
2/7/2019,1.500956 Dividend
11/8/2018,1.500956 Dividend
8/9/2018,1.500956 Dividend
5/9/2018,1.500956 Dividend
2/8/2018,1.434034 Dividend
11/9/2017,1.434034 Dividend
8/8/2017,1.434034 Dividend
5/8/2017,1.434034 Dividend
2/8/2017,1.338432 Dividend
11/8/2016,1.338432 Dividend
8/8/2016,1.338432 Dividend
5/6/2016,1.338432 Dividend
2/8/2016,1.24283 Dividend
11/6/2015,1.24283 Dividend
8/6/2015,1.24283 Dividend
5/6/2015,1.24283 Dividend
2/6/2015,1.051625 Dividend
