Date,Dividend,
8/26/2025,1.3 Dividend,
5/27/2025,1.3 Dividend,
2/18/2025,1.24 Dividend,
11/26/2024,1.24 Dividend,
8/27/2024,1.24 Dividend,
5/20/2024,1.24 Dividend,
2/16/2024,1.19 Dividend,
11/20/2023,1.19 Dividend,
8/25/2023,1.19 Dividend,
5/22/2023,1.19 Dividend,
2/17/2023,1.13 Dividend,
11/21/2022,1.13 Dividend,
8/22/2022,1.13 Dividend,
5/23/2022,1.13 Dividend,
2/18/2022,1.06 Dividend,
11/22/2021,1.06 Dividend,
8/23/2021,1.06 Dividend,
5/24/2021,1.06 Dividend,
2/22/2021,1.01 Dividend,
11/23/2020,1.01 Dividend,
8/24/2020,1.01 Dividend,
5/22/2020,1.01 Dividend,
2/24/2020,0.95 Dividend,
11/25/2019,0.95 Dividend,
8/26/2019,0.95 Dividend,
5/24/2019,0.95 Dividend,
2/25/2019,0.9 Dividend,
11/26/2018,0.9 Dividend,
8/27/2018,0.9 Dividend,
5/25/2018,0.9 Dividend,
2/26/2018,0.84 Dividend,
11/27/2017,0.84 Dividend,
8/25/2017,0.84 Dividend,
5/25/2017,0.84 Dividend,
2/24/2017,0.8 Dividend,
11/18/2016,0.8 Dividend,
8/19/2016,0.8 Dividend,
5/20/2016,0.8 Dividend,
2/19/2016,0.75 Dividend,
11/20/2015,0.75 Dividend,
8/21/2015,0.75 Dividend,
5/21/2015,0.75 Dividend,
2/20/2015,0.7 Dividend,
