Date,Dividend
8/29/2025,0.4 Dividend
5/30/2025,0.4 Dividend
3/7/2025,0.4 Dividend
11/29/2024,0.4 Dividend
8/30/2024,0.4 Dividend
6/6/2024,0.4 Dividend
3/7/2024,0.4 Dividend
11/30/2023,0.4 Dividend
8/31/2023,0.4 Dividend
6/5/2023,0.4 Dividend
3/9/2023,0.4 Dividend
11/23/2022,0.4 Dividend
8/25/2022,0.4 Dividend
5/26/2022,0.4 Dividend
3/10/2022,0.4 Dividend
11/24/2021,0.4 Dividend
8/31/2021,0.4 Dividend
5/27/2021,0.4 Dividend
3/11/2021,0.4 Dividend
11/25/2020,0.4 Dividend
8/27/2020,0.4 Dividend
5/28/2020,0.4 Dividend
3/12/2020,0.4 Dividend
11/14/2019,0.4 Dividend
8/20/2019,0.4 Dividend
5/30/2019,0.4 Dividend
3/7/2019,0.4 Dividend
11/15/2018,0.625 Dividend
8/16/2018,0.625 Dividend
5/17/2018,0.625 Dividend
3/8/2018,0.625 Dividend
11/16/2017,0.625 Dividend
8/16/2017,0.625 Dividend
5/17/2017,0.6 Dividend
3/1/2017,0.6 Dividend
11/30/2016,0.6 Dividend
8/24/2016,0.6 Dividend
5/25/2016,0.575 Dividend
3/16/2016,0.575 Dividend
12/21/2015,0.575 Dividend
11/12/2015,0.575 Dividend
7/23/2015,0.55 Dividend
,
,
