Date,Dividend
9/15/2025,0.51 Dividend
6/13/2025,0.51 Dividend
3/14/2025,0.51 Dividend
11/29/2024,0.485 Dividend
9/13/2024,0.485 Dividend
6/14/2024,0.485 Dividend
3/14/2024,0.485 Dividend
11/30/2023,0.46 Dividend
9/14/2023,0.46 Dividend
6/15/2023,0.46 Dividend
3/16/2023,0.46 Dividend
11/30/2022,0.44 Dividend
9/15/2022,0.44 Dividend
6/14/2022,0.44 Dividend
3/14/2022,0.44 Dividend
11/30/2021,0.42 Dividend
9/14/2021,0.42 Dividend
6/14/2021,0.42 Dividend
3/12/2021,0.42 Dividend
11/30/2020,0.41 Dividend
9/14/2020,0.41 Dividend
6/12/2020,0.41 Dividend
3/13/2020,0.41 Dividend
11/29/2019,0.4 Dividend
9/13/2019,0.4 Dividend
6/13/2019,0.4 Dividend
3/14/2019,0.4 Dividend
11/29/2018,0.39 Dividend
9/13/2018,0.39 Dividend
6/14/2018,0.39 Dividend
3/14/2018,0.39 Dividend
11/30/2017,0.37 Dividend
9/14/2017,0.37 Dividend
6/13/2017,0.37 Dividend
3/13/2017,0.37 Dividend
11/29/2016,0.35 Dividend
9/13/2016,0.35 Dividend
6/13/2016,0.35 Dividend
3/11/2016,0.35 Dividend
11/27/2015,0.33 Dividend
9/11/2015,0.33 Dividend
6/11/2015,0.33 Dividend
3/12/2015,0.33 Dividend
