Ex-Div Date,Amount,Frequency,Payment,Record,Announced,Type
9/15/2025,0.51 USD,Quarterly,10/1/2025,9/15/2025,7/17/2025,Cash Dividend
6/13/2025,0.51 USD,Quarterly,7/1/2025,6/13/2025,5/1/2025,Cash Dividend
3/14/2025,0.51 USD,Quarterly,4/1/2025,3/14/2025,2/20/2025,Cash Dividend
11/29/2024,0.485 USD,Quarterly,12/16/2024,11/29/2024,10/17/2024,Cash Dividend
9/13/2024,0.485 USD,Quarterly,10/1/2024,9/13/2024,7/29/2024,Cash Dividend
6/14/2024,0.485 USD,Quarterly,7/1/2024,6/14/2024,5/2/2024,Cash Dividend
3/14/2024,0.485 USD,Quarterly,4/1/2024,3/15/2024,2/15/2024,Cash Dividend
11/30/2023,0.46 USD,Quarterly,12/15/2023,12/1/2023,10/19/2023,Cash Dividend
9/14/2023,0.46 USD,Quarterly,10/2/2023,9/15/2023,7/19/2023,Cash Dividend
6/15/2023,0.46 USD,Quarterly,7/3/2023,6/16/2023,4/26/2023,Cash Dividend
3/16/2023,0.46 USD,Quarterly,4/3/2023,3/17/2023,2/16/2023,Cash Dividend
11/30/2022,0.44 USD,Quarterly,12/15/2022,12/1/2022,10/20/2022,Cash Dividend
9/15/2022,0.44 USD,Quarterly,10/3/2022,9/16/2022,7/21/2022,Cash Dividend
6/14/2022,0.44 USD,Quarterly,7/1/2022,6/15/2022,4/27/2022,Cash Dividend
3/14/2022,0.44 USD,Quarterly,4/1/2022,3/15/2022,2/17/2022,Cash Dividend
11/30/2021,0.42 USD,Quarterly,12/15/2021,12/1/2021,10/21/2021,Cash Dividend
9/14/2021,0.42 USD,Quarterly,10/1/2021,9/15/2021,7/14/2021,Cash Dividend
6/14/2021,0.42 USD,Quarterly,7/1/2021,6/15/2021,4/21/2021,Cash Dividend
3/12/2021,0.42 USD,Quarterly,4/1/2021,3/15/2021,2/18/2021,Cash Dividend
11/30/2020,0.41 USD,Quarterly,12/15/2020,12/1/2020,10/15/2020,Cash Dividend
9/14/2020,0.41 USD,Quarterly,10/1/2020,9/15/2020,7/16/2020,Cash Dividend
6/12/2020,0.41 USD,Quarterly,7/1/2020,6/15/2020,4/22/2020,Cash Dividend
3/13/2020,0.41 USD,Quarterly,4/1/2020,3/16/2020,2/20/2020,Cash Dividend
11/29/2019,0.40 USD,Quarterly,12/16/2019,12/2/2019,10/18/2019,Cash Dividend
9/13/2019,0.40 USD,Quarterly,10/1/2019,9/16/2019,7/18/2019,Cash Dividend
6/13/2019,0.40 USD,Quarterly,7/1/2019,6/14/2019,4/26/2019,Cash Dividend
3/14/2019,0.40 USD,Quarterly,4/1/2019,3/15/2019,2/22/2019,Cash Dividend
11/29/2018,0.39 USD,Quarterly,12/14/2018,11/30/2018,10/19/2018,Cash Dividend
9/13/2018,0.39 USD,Quarterly,10/1/2018,9/14/2018,7/20/2018,Cash Dividend
6/14/2018,0.39 USD,Quarterly,7/2/2018,6/15/2018,4/27/2018,Cash Dividend
3/14/2018,0.39 USD,Quarterly,4/2/2018,3/15/2018,2/15/2018,Cash Dividend
11/30/2017,0.37 USD,Quarterly,12/15/2017,12/1/2017,10/19/2017,Cash Dividend
9/14/2017,0.37 USD,Quarterly,10/2/2017,9/15/2017,7/20/2017,Cash Dividend
6/13/2017,0.37 USD,Quarterly,7/3/2017,6/15/2017,4/27/2017,Cash Dividend
3/13/2017,0.37 USD,Quarterly,4/3/2017,3/15/2017,2/16/2017,Cash Dividend
11/29/2016,0.35 USD,Quarterly,12/15/2016,12/1/2016,10/20/2016,Cash Dividend
9/13/2016,0.35 USD,Quarterly,10/3/2016,9/15/2016,7/21/2016,Cash Dividend
6/13/2016,0.35 USD,Quarterly,7/1/2016,6/15/2016,4/28/2016,Cash Dividend
3/11/2016,0.35 USD,Quarterly,4/1/2016,3/15/2016,2/18/2016,Cash Dividend
11/27/2015,0.33 USD,Quarterly,12/15/2015,12/1/2015,10/15/2015,Cash Dividend
9/11/2015,0.33 USD,Quarterly,10/1/2015,9/15/2015,7/16/2015,Cash Dividend
6/11/2015,0.33 USD,Quarterly,7/1/2015,6/15/2015,4/30/2015,Cash Dividend
3/12/2015,0.33 USD,Quarterly,4/1/2015,3/16/2015,2/19/2015,Cash Dividend
11/26/2014,0.305 USD,Quarterly,12/15/2014,12/1/2014,10/16/2014,Cash Dividend
9/11/2014,0.305 USD,Quarterly,10/1/2014,9/15/2014,7/15/2014,Cash Dividend
6/12/2014,0.305 USD,Quarterly,7/1/2014,6/16/2014,4/24/2014,Cash Dividend
3/12/2014,0.305 USD,Quarterly,4/1/2014,3/14/2014,2/20/2014,Cash Dividend
11/27/2013,0.28 USD,Quarterly,12/16/2013,12/2/2013,10/17/2013,Cash Dividend
9/12/2013,0.28 USD,Quarterly,10/1/2013,9/16/2013,7/18/2013,Cash Dividend
6/12/2013,0.28 USD,Quarterly,7/1/2013,6/14/2013,4/25/2013,Cash Dividend
3/13/2013,0.28 USD,Quarterly,4/1/2013,3/15/2013,2/21/2013,Cash Dividend
11/28/2012,0.255 USD,Quarterly,12/17/2012,11/30/2012,10/18/2012,Cash Dividend
9/12/2012,0.255 USD,Quarterly,10/1/2012,9/14/2012,7/30/2012,Cash Dividend
6/13/2012,0.51 USD,Quarterly,7/1/2012,6/15/2012,4/26/2012,Cash Dividend
3/13/2012,0.51 USD,Quarterly,4/1/2012,3/15/2012,2/16/2012,Cash Dividend
11/29/2011,0.47 USD,Quarterly,12/15/2011,12/1/2011,10/20/2011,Cash Dividend
9/13/2011,0.47 USD,Quarterly,10/1/2011,9/15/2011,7/21/2011,Cash Dividend
6/13/2011,0.47 USD,Quarterly,7/1/2011,6/15/2011,4/28/2011,Cash Dividend
3/11/2011,0.47 USD,Quarterly,4/1/2011,3/15/2011,2/17/2011,Cash Dividend
11/29/2010,0.44 USD,Quarterly,12/15/2010,12/1/2010,10/21/2010,Cash Dividend
9/13/2010,0.44 USD,Quarterly,10/1/2010,9/15/2010,7/22/2010,Cash Dividend
6/11/2010,0.44 USD,Quarterly,7/1/2010,6/15/2010,4/22/2010,Cash Dividend
3/11/2010,0.44 USD,Quarterly,4/1/2010,3/15/2010,2/18/2010,Cash Dividend
11/27/2009,0.41 USD,Quarterly,12/15/2009,12/1/2009,10/22/2009,Cash Dividend
9/11/2009,0.41 USD,Quarterly,10/1/2009,9/15/2009,7/23/2009,Cash Dividend
6/11/2009,0.41 USD,Quarterly,7/1/2009,6/15/2009,4/23/2009,Cash Dividend
3/11/2009,0.41 USD,Quarterly,4/1/2009,3/15/2009,2/19/2009,Cash Dividend
11/26/2008,0.38 USD,Quarterly,12/15/2008,12/1/2008,10/16/2008,Cash Dividend
9/11/2008,0.38 USD,Quarterly,10/1/2008,9/15/2008,7/17/2008,Cash Dividend
6/11/2008,0.38 USD,Quarterly,7/1/2008,6/15/2008,4/17/2008,Cash Dividend
3/12/2008,0.38 USD,Quarterly,4/1/2008,3/15/2008,2/21/2008,Cash Dividend
