Date,Dividend
11/20/2025,0.91 Dividend
8/21/2025,0.83 Dividend
5/15/2025,0.83 Dividend
2/20/2025,0.83 Dividend
11/21/2024,0.83 Dividend
8/15/2024,0.75 Dividend
5/15/2024,0.75 Dividend
2/14/2024,0.75 Dividend
11/15/2023,0.75 Dividend
8/16/2023,0.68 Dividend
5/17/2023,0.68 Dividend
2/15/2023,0.68 Dividend
11/16/2022,0.68 Dividend
8/17/2022,0.62 Dividend
5/18/2022,0.62 Dividend
2/16/2022,0.62 Dividend
11/17/2021,0.62 Dividend
8/18/2021,0.56 Dividend
5/19/2021,0.56 Dividend
2/17/2021,0.56 Dividend
11/18/2020,0.56 Dividend
8/19/2020,0.51 Dividend
5/20/2020,0.51 Dividend
2/19/2020,0.51 Dividend
11/20/2019,0.51 Dividend
8/14/2019,0.46 Dividend
5/15/2019,0.46 Dividend
2/20/2019,0.46 Dividend
11/14/2018,0.46 Dividend
8/15/2018,0.42 Dividend
5/16/2018,0.42 Dividend
2/14/2018,0.42 Dividend
11/15/2017,0.42 Dividend
8/15/2017,0.39 Dividend
5/16/2017,0.39 Dividend
2/14/2017,0.39 Dividend
11/15/2016,0.39 Dividend
8/16/2016,0.36 Dividend
5/17/2016,0.36 Dividend
2/16/2016,0.36 Dividend
11/17/2015,0.36 Dividend
8/18/2015,0.31 Dividend
5/19/2015,0.31 Dividend
2/17/2015,0.31 Dividend
