Date,Dividend
9/30/2025,0.52 Dividend
6/30/2025,0.5 Dividend
3/31/2025,0.5 Dividend
12/31/2024,0.5 Dividend
9/30/2024,0.5 Dividend
6/28/2024,0.49 Dividend
3/27/2024,0.49 Dividend
12/28/2023,0.49 Dividend
9/28/2023,0.48 Dividend
6/29/2023,0.48 Dividend
3/30/2023,0.48 Dividend
12/29/2022,0.48 Dividend
9/29/2022,0.48 Dividend
6/29/2022,0.46 Dividend
3/30/2022,0.46 Dividend
12/30/2021,0.46 Dividend
9/29/2021,0.46 Dividend
6/29/2021,0.42 Dividend
3/30/2021,0.42 Dividend
12/30/2020,0.42 Dividend
9/29/2020,0.42 Dividend
6/29/2020,0.42 Dividend
3/30/2020,0.42 Dividend
12/30/2019,0.42 Dividend
9/27/2019,0.42 Dividend
6/27/2019,0.37 Dividend
3/28/2019,0.37 Dividend
12/28/2018,0.37 Dividend
9/27/2018,0.37 Dividend
6/28/2018,0.3 Dividend
3/28/2018,0.3 Dividend
12/28/2017,0.3 Dividend
9/28/2017,0.3 Dividend
6/28/2017,0.28 Dividend
3/29/2017,0.28 Dividend
12/28/2016,0.28 Dividend
9/28/2016,0.28 Dividend
6/28/2016,0.255 Dividend
3/29/2016,0.255 Dividend
12/29/2015,0.255 Dividend
9/28/2015,0.255 Dividend
6/26/2015,0.255 Dividend
3/27/2015,0.245 Dividend
,
