Date,Dividend
10/10/2025,0.69 Dividend
7/10/2025,0.678 Dividend
4/10/2025,0.678 Dividend
1/10/2025,0.678 Dividend
10/10/2024,0.678 Dividend
7/10/2024,0.665 Dividend
4/9/2024,0.665 Dividend
1/9/2024,0.665 Dividend
10/6/2023,0.665 Dividend
7/7/2023,0.653 Dividend
4/6/2023,0.653 Dividend
1/9/2023,0.653 Dividend
10/6/2022,0.653 Dividend
7/7/2022,0.64 Dividend
4/7/2022,0.64 Dividend
1/7/2022,0.64 Dividend
10/7/2021,0.64 Dividend
7/8/2021,0.628 Dividend
4/8/2021,0.628 Dividend
1/7/2021,0.628 Dividend
10/8/2020,0.628 Dividend
7/9/2020,0.615 Dividend
4/9/2020,0.615 Dividend
1/9/2020,0.615 Dividend
10/9/2019,0.615 Dividend
7/9/2019,0.603 Dividend
4/9/2019,0.603 Dividend
1/9/2019,0.603 Dividend
10/9/2018,0.603 Dividend
7/9/2018,0.59 Dividend
4/9/2018,0.59 Dividend
1/9/2018,0.59 Dividend
10/6/2017,0.59 Dividend
7/6/2017,0.578 Dividend
4/6/2017,0.578 Dividend
1/6/2017,0.578 Dividend
10/5/2016,0.578 Dividend
7/6/2016,0.565 Dividend
4/6/2016,0.565 Dividend
1/6/2016,0.565 Dividend
10/7/2015,0.565 Dividend
7/8/2015,0.55 Dividend
4/8/2015,0.55 Dividend
1/7/2015,0.55 Dividend
