Date,Dividend
11/14/2025,1.03 Dividend
8/15/2025,0.99 Dividend
5/15/2025,0.99 Dividend
2/12/2025,0.99 Dividend
11/14/2024,0.99 Dividend
8/15/2024,0.95 Dividend
5/14/2024,0.95 Dividend
2/13/2024,0.95 Dividend
11/14/2023,0.95 Dividend
8/15/2023,0.91 Dividend
5/15/2023,0.91 Dividend
2/13/2023,0.91 Dividend
11/14/2022,0.91 Dividend
8/11/2022,0.88 Dividend
5/12/2022,0.88 Dividend
2/9/2022,0.88 Dividend
11/10/2021,0.88 Dividend
8/12/2021,0.87 Dividend
5/12/2021,0.87 Dividend
2/9/2021,0.87 Dividend
11/10/2020,0.87 Dividend
8/12/2020,0.87 Dividend
5/12/2020,0.87 Dividend
2/10/2020,0.87 Dividend
11/8/2019,0.87 Dividend
8/12/2019,0.87 Dividend
5/10/2019,0.87 Dividend
2/8/2019,0.82 Dividend
11/9/2018,0.82 Dividend
8/10/2018,0.82 Dividend
5/11/2018,0.82 Dividend
2/9/2018,0.77 Dividend
11/10/2017,0.77 Dividend
8/10/2017,0.77 Dividend
5/10/2017,0.77 Dividend
2/8/2017,0.75 Dividend
11/8/2016,0.75 Dividend
8/10/2016,0.75 Dividend
5/11/2016,0.75 Dividend
2/9/2016,0.73 Dividend
11/9/2015,0.73 Dividend
8/11/2015,0.73 Dividend
5/11/2015,0.73 Dividend
2/6/2015,0.69 Dividend
